Zeit [ms]	Uin A [V]	Uin B [V]
12.780000000	0.000714644	-2.028437847
12.800000000	0.000390136	-2.025192758
12.820000000	0.000065627	-2.022272178
12.840000000	-0.000258881	-2.018702580
12.860000000	0.000065627	-2.014808473
12.880000000	0.000390136	-2.011238875
12.900000000	0.000714644	-2.007669277
12.920000000	0.000390136	-2.004424188
12.940000000	0.000065627	-2.000205573
12.960000000	0.000065627	-1.996635975
12.980000000	0.000390136	-1.992092850
13.000000000	0.000390136	-1.988198744
13.020000000	0.000390136	-1.983331110
13.040000000	0.000390136	-1.980086021
13.060000000	0.000390136	-1.975542897
13.080000000	0.001039152	-1.971648790
13.100000000	0.000714644	-1.966781157
13.120000000	0.001363661	-1.962562541
13.140000000	0.002012678	-1.957694908
13.160000000	-0.000258881	-1.953151784
13.180000000	0.000065627	-1.948608660
13.200000000	-0.000583390	-1.943741027
13.220000000	0.000065627	-1.938873393
13.240000000	0.001039152	-1.934005760
13.260000000	0.001039152	-1.928489109
13.280000000	-0.001232407	-1.923296968
13.300000000	-0.000583390	-1.919078352
13.320000000	0.000714644	-1.913561702
13.340000000	0.000065627	-1.908045051
13.360000000	-0.000258881	-1.902528400
13.380000000	0.000065627	-1.897011750
13.400000000	-0.000583390	-1.891495099
13.420000000	0.001039152	-1.886302957
13.440000000	0.000390136	-1.880137289
13.460000000	0.001039152	-1.874620638
13.480000000	0.001039152	-1.868779479
13.500000000	-0.000258881	-1.862938320
13.520000000	0.000390136	-1.857097161
13.540000000	0.001039152	-1.850282475
13.560000000	0.000390136	-1.844765824
13.580000000	0.000390136	-1.838600157
13.600000000	0.000714644	-1.832758997
13.620000000	0.000714644	-1.825619803
13.640000000	-0.000907898	-1.819778644
13.660000000	0.000714644	-1.812963958
13.680000000	0.000714644	-1.806473782
13.700000000	0.000390136	-1.799334588
13.720000000	0.000390136	-1.792844411
13.740000000	0.001363661	-1.786354235
13.760000000	0.000065627	-1.779539549
13.780000000	0.000714644	-1.772400355
13.800000000	0.000065627	-1.765585670
13.820000000	0.001363661	-1.759095494
13.840000000	0.000714644	-1.751631791
13.860000000	0.000714644	-1.744168088
13.880000000	0.001039152	-1.736704386
13.900000000	0.000390136	-1.729565192
13.920000000	0.000390136	-1.722101489
13.940000000	-0.000258881	-1.714962296
13.960000000	0.000390136	-1.707174085
13.980000000	0.000065627	-1.699385873
14.000000000	0.000065627	-1.691922171
14.020000000	-0.000583390	-1.684458469
14.040000000	0.000390136	-1.676670258
14.060000000	0.000065627	-1.668557538
14.080000000	-0.000258881	-1.660769327
14.100000000	0.000714644	-1.652981117
14.120000000	0.000065627	-1.644543888
14.140000000	0.001039152	-1.636431169
14.160000000	0.000714644	-1.628642958
14.180000000	0.000714644	-1.620205730
14.200000000	0.000390136	-1.612093011
14.220000000	0.001039152	-1.603655783
14.240000000	0.000065627	-1.595218555
14.260000000	-0.000258881	-1.586781327
14.280000000	0.000714644	-1.578019591
14.300000000	0.000714644	-1.569906872
14.320000000	0.000390136	-1.560496118
14.340000000	0.000065627	-1.552383399
14.360000000	0.000390136	-1.543297154
14.380000000	-0.000258881	-1.534535418
14.400000000	0.001039152	-1.525773682
14.420000000	0.000714644	-1.517011946
14.440000000	-0.000583390	-1.507925701
14.460000000	0.001039152	-1.498514947
14.480000000	0.001039152	-1.489428703
14.500000000	0.000390136	-1.480666967
14.520000000	0.000065627	-1.470607196
14.540000000	-0.000907898	-1.461845461
14.560000000	0.001039152	-1.452434708
14.580000000	0.000714644	-1.443023955
14.600000000	0.000065627	-1.433613202
14.620000000	0.000714644	-1.423877940
14.640000000	-0.000258881	-1.414467188
14.660000000	0.000714644	-1.404731926
14.680000000	-0.000583390	-1.394996665
14.700000000	-0.000258881	-1.385585913
14.720000000	0.000390136	-1.375850651
14.740000000	0.000714644	-1.365466373
14.760000000	0.000065627	-1.355082095
14.780000000	0.000065627	-1.346320360
14.800000000	0.000714644	-1.335936082
14.820000000	-0.000258881	-1.325551804
